start_time,end_time,speaker,title,abstract,bio,expandable
12:30,13:30,Lunch and introductions,,,,FALSE
13:30,14:00,Lightning talks,,,,FALSE
14:00,15:00,Sergei Vassilvitskii,Keynote 1: Data Sharing and Differential Privacy,"Differential privacy is the gold standard for statistical data release. Used by governments, companies, and academics, its mathematically rigorous guarantees and worst-case assumptions on the strength and knowledge of attackers make it a robust and compelling framework for reasoning about privacy. However, even with landmark successes, differential privacy has not achieved widespread adoption in everyday data use and data protection. In this talk we examine some recent data sharing regulations and examine some of the practical obstacles that stand in the way.","Sergei Vassilvitskii is a Distinguished Scientist and Senior Research Director at Google New York. His interests span all aspects of data systems: from algorithms and paradigms for data processing, to user privacy and legal rubrics for data protection. His work has won several best paper awards and has been presented to international regulators and other government stakeholders.",TRUE
15:00,15:30,Break,,,,FALSE
15:30,16:30,Talia Gillis,Keynote 2: Rethinking Frameworks for Algorithmic Fair Lending,"Machine learning models are now routinely used in consumer finance, with important implications for credit access and inequality. This talk explores how legal frameworks designed for human decision-making struggle to address algorithmic discrimination, and proposes paths forward through greater doctrinal precision and broadening the legal lens through which algorithmic harms are evaluated.\n\nTraditional fair lending law focuses heavily on what goes into algorithms by scrutinizing inputs rather than outcomes. But this input-centric approach misses a fundamental challenge: algorithmic systems force precision in legal standards that have long relied on vagueness. This talk argues that meeting this moment requires both sharper tools and wider perspectives, including technical methods that operationalize legal requirements and consumer protection approaches that can address emerging harms from AI systems.","Talia Gillis is the Daniel G. Ross Professor of Law at Columbia Law School and an affiliate of Columbia's Data Science Institute. Her research examines the law and economics of consumer markets, with particular attention to how emerging technologies shape consumer welfare and impact distributional disparities. She has served as Program Co-Chair for ACM FAccT 2025 and will serve as General Chair of the ACM Computer Science & Law Symposium in 2027. She holds a Ph.D. in Business Economics from Harvard University and an SJD from Harvard Law School, as well as a BCL from Oxford University and an LL.B. in Law and Economics from the Hebrew University.",TRUE
16:30,17:00,Break,,,,FALSE
17:00,17:30,Lightning talks,,,,FALSE
18:15,,Dinner at Jin Ramen,"<a href=""https://125.jinramen.com/jin-west-harlem/"" target=""_blank"" rel=""noopener noreferrer"">Jin Ramen, West Harlem</a>",,,FALSE
